word,early_avg_pm,y2010_2025_pm,delta_pm,pre_1950,1950_1970,1970_1990,1990_2010,2010_2025
থাকিয়া,255.8,1.48,-254.32,635.958,121.306,10.135,10.249,1.48
রায়,562.43,308.6,-253.83,456.791,619.224,611.282,197.725,308.599
বললো,394.82,142.34,-252.48,7.746,419.407,757.299,267.477,142.336
ফেলিয়া,253.56,1.97,-251.58,643.205,111.271,6.194,14.377,1.973
ধারে,374.1,123.09,-251.01,379.576,373.364,369.359,279.292,123.094
জলে,418.46,167.5,-250.97,433.301,413.505,408.585,334.097,167.497
রাগ,672.99,423.31,-249.68,663.696,660.84,694.426,796.737,423.306
ছাল,1218.43,969.71,-248.72,1017.783,1219.558,1417.942,1385.783,969.707
পড়ি,333.65,85.35,-248.29,645.454,201.587,153.9,155.732,85.352
চুপ,821.32,575.26,-246.06,803.881,840.291,819.798,778.373,575.263
দেখিল,246.98,0.99,-245.99,602.724,135.769,2.44,5.267,0.987
বিশ্বাস,987.95,742.76,-245.19,995.044,986.095,982.706,1042.576,742.76
বুক,1201.46,957.87,-243.6,857.857,1459.219,1287.315,1181.937,957.866
ডাক্ত,593.82,350.29,-243.53,569.239,686.518,525.699,656.094,350.289
যাইত,251.05,11.1,-239.95,581.733,153.773,17.642,22.064,11.101
থাকি,435.4,196.11,-239.29,778.393,275.375,252.433,348.759,196.112
কিছুতে,428.56,189.94,-238.61,521.511,362.148,402.016,362.709,189.945
নে,315.9,77.95,-237.95,533.256,285.705,128.75,135.518,77.952
ক্রমে,312.69,77.7,-234.99,540.502,271.833,125.747,89.823,77.705
ভূতনাথ,234.11,0.0,-234.11,3.249,676.188,22.897,34.022,0.0
কোথা,1050.99,817.5,-233.48,1128.483,1082.313,942.167,901.364,817.504
একখানা,345.57,112.73,-232.83,584.232,275.67,176.797,158.721,112.734
আস্,536.66,305.15,-231.52,435.8,647.558,526.637,591.467,305.146
ওঠে,770.24,539.0,-231.24,353.088,1174.99,782.637,772.964,539.0
করিয়াছি,230.94,0.25,-230.7,557.245,66.704,68.88,22.634,0.247
আচ্ছা,621.54,391.98,-229.56,680.438,652.28,531.893,648.265,391.978
মহাশয়,242.36,13.32,-229.04,579.734,63.457,83.894,44.84,13.321
দোষ,374.89,146.28,-228.61,520.012,313.744,290.908,314.595,146.282
লাগল,1158.36,930.98,-227.39,517.263,1336.437,1621.39,1629.63,930.978
কিনা,548.03,323.15,-224.87,406.813,662.02,575.247,515.309,323.154
হাঁ,471.88,247.18,-224.71,546.0,433.28,436.362,355.165,247.175
তাড়াতাড়ি,492.64,268.14,-224.5,487.277,509.428,481.218,454.953,268.143
আজ্ঞে,294.4,70.3,-224.1,182.916,340.307,359.975,255.662,70.304
ডাক,813.13,589.32,-223.81,478.281,959.826,1001.287,889.691,589.323
চিঠি,723.55,504.46,-219.09,498.521,812.547,859.586,838.161,504.465
দুজনে,506.19,287.14,-219.05,301.362,579.083,638.121,570.684,287.138
ফুল,514.1,297.0,-217.1,484.278,582.625,475.4,489.117,297.005
জ্ঞান,440.74,224.23,-216.51,726.917,328.797,266.509,305.2,224.234
জবাব,630.4,414.18,-216.23,499.521,791.296,600.397,464.205,414.179
অধিক,443.6,228.18,-215.41,788.389,319.057,223.342,255.519,228.181
সূর্য,405.0,190.19,-214.8,218.15,722.821,274.017,213.241,190.192
কথায়,557.1,344.86,-212.23,603.723,573.771,493.793,395.592,344.862
সুব্রত,226.01,16.77,-209.24,135.938,424.425,117.677,38.862,16.774
পানে,223.69,15.05,-208.64,386.073,262.093,22.897,19.075,15.048
চলি,239.31,31.57,-207.74,453.792,170.301,93.841,79.005,31.575
গাছ,934.83,727.22,-207.61,628.712,950.972,1224.817,1004.996,727.219
ছাড়িয়া,208.82,1.48,-207.34,515.514,100.056,10.886,12.669,1.48
এরূপ,210.1,2.96,-207.14,507.767,76.739,45.795,22.349,2.96
যাই,787.33,581.68,-205.66,791.637,713.967,856.396,858.09,581.676
মুসলমান,276.53,72.28,-204.26,312.857,360.968,155.777,154.735,72.278
দেখলে,535.82,331.79,-204.03,395.319,566.687,645.441,557.018,331.787
পয়সা,368.09,164.54,-203.56,330.099,455.121,319.06,309.186,164.537
আশা,560.15,356.95,-203.2,861.105,459.548,359.788,345.2,356.949
নিতান্ত,242.69,41.2,-201.5,450.044,178.565,99.472,82.563,41.196
তোর,1014.53,813.06,-201.46,701.428,1125.405,1216.746,1443.863,813.064
অমনি,239.09,38.48,-200.6,267.627,246.745,202.885,97.795,38.482
স্থান,360.28,159.85,-200.43,684.186,211.032,185.618,143.205,159.85
উহা,203.83,4.69,-199.14,512.515,60.506,38.475,26.62,4.687
কিরীটীর,198.32,0.0,-198.32,43.48,398.157,153.337,0.0,0.0
উপায়,572.2,374.22,-197.99,672.442,546.617,497.547,485.843,374.217
পড়ে,2564.92,2367.16,-197.75,1569.53,2998.424,3126.792,2952.352,2367.161
সাহেবের,364.51,167.0,-197.51,213.652,459.843,420.034,363.421,167.004
দিব,304.93,107.8,-197.13,724.668,129.866,60.246,102.777,107.8
করিয়াছ,199.74,2.71,-197.02,496.272,52.832,50.111,17.794,2.714
ঠাকুর,298.49,101.88,-196.61,340.344,397.271,157.841,195.163,101.88
পারিল,198.02,1.73,-196.3,531.256,59.62,3.191,2.278,1.727
